データコード,FM08'FXERM07,FM09'FX180110002
系列名称,"東京市場　ドル・円　スポット　17時時点/月中平均","実質実効為替レート指数"
1970/01,,58.32
1970/02,,57.98
1970/03,,58.19
1970/04,,58.25
1970/05,,57.85
1970/06,,57.74
1970/07,,57.36
1970/08,,57.1
1970/09,,57.64
1970/10,,58.32
1970/11,,58.21
1970/12,,58.28
1971/01,,58.21
1971/02,,58.07
1971/03,,58.02
1971/04,,58.63
1971/05,,58.52
1971/06,,58.49
1971/07,,58.7
1971/08,,58.41
1971/09,,62.48
1971/10,,63.61
1971/11,,63.35
1971/12,,64.21
1972/01,,65.03
1972/02,,66.25
1972/03,,67.04
1972/04,,67.54
1972/05,,67.26
1972/06,,67.49
1972/07,,67.77
1972/08,,67.79
1972/09,,67.96
1972/10,,68.51
1972/11,,68.37
1972/12,,68.58
1973/01,301.93,68.74
1973/02,279.48,72.82
1973/03,265.26,77.29
1973/04,265.52,77.21
1973/05,264.73,77.49
1973/06,264.7,75.89
1973/07,264.41,74.67
1973/08,265.11,74.96
1973/09,265.49,76.49
1973/10,266.32,75.29
1973/11,277.05,73.14
1973/12,280,75.14
1974/01,298.64,73.71
1974/02,291.24,75.26
1974/03,282.58,76.25
1974/04,277.78,78.12
1974/05,278.93,76.92
1974/06,283.05,76.31
1974/07,290.91,74.81
1974/08,302.22,72.3
1974/09,299.63,73.53
1974/10,299.48,74.19
1974/11,300.1,73.32
1974/12,300.44,73.3
1975/01,299.64,73.11
1975/02,292.17,74.11
1975/03,288.03,74.96
1975/04,292.12,75.06
1975/05,291.47,74.75
1975/06,293.57,73.75
1975/07,296.22,74.15
1975/08,297.93,74.17
1975/09,299.68,75.22
1975/10,302.38,75.04
1975/11,302.53,74.32
1975/12,305.7,73.61
1976/01,304.66,74.64
1976/02,301.9,75.53
1976/03,300.6,76.19
1976/04,299.1,78.28
1976/05,299.06,78.22
1976/06,299.4,78.21
1976/07,294.77,79.45
1976/08,290.77,79.37
1976/09,287.58,82.23
1976/10,290.99,81.25
1976/11,295.09,79.85
1976/12,294.65,80.29
1977/01,290.94,81.08
1977/02,285.22,82.64
1977/03,280.41,83.79
1977/04,275.14,85.88
1977/05,277.53,85.43
1977/06,272.97,85.77
1977/07,264.9,87.08
1977/08,266.63,86.05
1977/09,266.95,87.2
1977/10,255.32,91.13
1977/11,244.7,93.12
1977/12,241.28,92.98
1978/01,241.21,91.61
1978/02,240.31,91.48
1978/03,231.42,94.64
1978/04,221.61,99.51
1978/05,226.34,98.22
1978/06,214.38,101.75
1978/07,199.95,107.42
1978/08,188.5,112.25
1978/09,190.16,111.54
1978/10,183.95,112.73
1978/11,191.33,107.86
1978/12,196.12,104.76
1979/01,197.78,102.71
1979/02,200.53,99.94
1979/03,206.21,96.89
1979/04,215.83,92.89
1979/05,218.14,92.15
1979/06,218.85,90.77
1979/07,216.44,90.19
1979/08,217.9,87.95
1979/09,222.22,86.04
1979/10,230.36,83.65
1979/11,244.86,77.79
1979/12,240.65,78.32
1980/01,237.73,78.86
1980/02,244.07,76.73
1980/03,248.61,76.35
1980/04,251.45,76.83
1980/05,228.06,82.52
1980/06,218.11,85.29
1980/07,220.91,83.42
1980/08,224.34,81.95
1980/09,214.95,85.92
1980/10,209.21,88.2
1980/11,212.99,87.33
1980/12,209.79,88.56
1981/01,202.19,91.77
1981/02,205.76,91.29
1981/03,208.84,89.43
1981/04,215.07,87.75
1981/05,220.78,87.32
1981/06,224.21,86.49
1981/07,232.11,83.45
1981/08,233.62,83.08
1981/09,229.83,83.79
1981/10,231.4,82.16
1981/11,223.76,84.04
1981/12,219.02,85.97
1982/01,224.55,83.75
1982/02,235.25,80.7
1982/03,240.64,79.59
1982/04,244.9,79.33
1982/05,236.97,80.49
1982/06,251.11,76.86
1982/07,255.1,75.53
1982/08,258.67,75.13
1982/09,262.74,75.09
1982/10,271.33,73.3
1982/11,265.02,74.91
1982/12,242.49,80.72
1983/01,232.9,83.6
1983/02,236.27,82.34
1983/03,237.92,82.47
1983/04,237.7,82.75
1983/05,234.78,84.19
1983/06,240.06,82.63
1983/07,240.49,82.25
1983/08,244.36,81.35
1983/09,242.71,82.6
1983/10,233,85.78
1983/11,235.25,85
1983/12,234.34,85.73
1984/01,233.95,86.46
1984/02,233.67,85.55
1984/03,225.52,87.44
1984/04,224.95,87.97
1984/05,230.67,87.34
1984/06,233.29,85.58
1984/07,242.72,83.67
1984/08,242.24,83.04
1984/09,245.19,84.42
1984/10,246.89,84.73
1984/11,243.29,84.74
1984/12,247.96,84.51
1985/01,254.11,83.22
1985/02,260.34,81.82
1985/03,258.43,82.71
1985/04,251.67,83.06
1985/05,251.57,83.05
1985/06,248.95,83.28
1985/07,241.7,84.37
1985/08,237.2,84.79
1985/09,236.91,85.44
1985/10,214.84,92.54
1985/11,203.85,96.07
1985/12,202.75,95.84
1986/01,200.05,96.34
1986/02,184.62,102.94
1986/03,178.83,105.3
1986/04,175.56,107.66
1986/05,166.89,112.17
1986/06,167.82,111.16
1986/07,158.65,116.25
1986/08,154.11,118.11
1986/09,154.78,117.25
1986/10,156.04,115.8
1986/11,162.72,110.78
1986/12,162.13,110.05
1987/01,154.48,111.84
1987/02,153.49,111.53
1987/03,151.56,112.58
1987/04,142.96,118.7
1987/05,140.47,119.41
1987/06,144.52,115.89
1987/07,150.2,111.1
1987/08,147.57,112.62
1987/09,143.03,115.49
1987/10,143.48,114.83
1987/11,135.25,118.25
1987/12,128.25,122.55
1988/01,127.44,122.69
1988/02,129.26,121.26
1988/03,127.23,122.02
1988/04,124.88,123.5
1988/05,124.74,123.68
1988/06,127.2,121.82
1988/07,133.1,117.97
1988/08,133.63,118
1988/09,134.45,117.69
1988/10,128.85,121.56
1988/11,123.16,124.04
1988/12,123.63,122.62
1989/01,127.24,119.86
1989/02,127.77,118.73
1989/03,130.35,116.89
1989/04,132.01,116.57
1989/05,138.4,112.78
1989/06,143.92,109.02
1989/07,140.63,109.47
1989/08,141.2,108.97
1989/09,145.06,107.03
1989/10,141.99,108.31
1989/11,143.55,105.61
1989/12,143.62,104.05
1990/01,145.09,101.62
1990/02,145.54,100.53
1990/03,153.19,96.19
1990/04,158.5,93.08
1990/05,153.52,95.52
1990/06,153.78,94.92
1990/07,149.23,96.12
1990/08,147.46,95.24
1990/09,138.96,101.06
1990/10,129.73,107.64
1990/11,129.01,107.45
1990/12,133.72,103.97
1991/01,133.65,104.05
1991/02,130.44,105.05
1991/03,137.09,103.22
1991/04,137.15,105.24
1991/05,138.02,104.96
1991/06,139.83,104.41
1991/07,137.98,105.46
1991/08,136.85,105.21
1991/09,134.59,105.87
1991/10,130.81,109.81
1991/11,129.64,108.92
1991/12,128.07,108.49
1992/01,125.05,110.68
1992/02,127.53,108.98
1992/03,132.75,105.91
1992/04,133.59,105.82
1992/05,130.55,106.92
1992/06,126.9,108.78
1992/07,125.66,106.88
1992/08,126.34,105.95
1992/09,122.72,109.8
1992/10,121.14,113.12
1992/11,123.84,113.53
1992/12,123.98,113.56
1993/01,125.02,112.76
1993/02,120.97,117.52
1993/03,117.02,121.12
1993/04,112.37,125.06
1993/05,110.23,127.05
1993/06,107.29,131.71
1993/07,107.77,133.38
1993/08,103.72,138.79
1993/09,105.27,135.02
1993/10,106.94,132.88
1993/11,107.81,132.14
1993/12,109.72,129.29
1994/01,111.49,127.55
1994/02,106.14,132.69
1994/03,105.12,133.95
1994/04,103.48,135.96
1994/05,104,134.3
1994/06,102.69,134.02
1994/07,98.54,137.16
1994/08,99.86,134.69
1994/09,98.79,135.05
1994/10,98.4,135.15
1994/11,98,135.28
1994/12,100.17,132.63
1995/01,99.79,131.89
1995/02,98.23,132.49
1995/03,90.77,141.53
1995/04,83.53,150.84
1995/05,85.21,148.8
1995/06,84.54,148.73
1995/07,87.24,143.12
1995/08,94.56,132.96
1995/09,100.31,125.89
1995/10,100.68,124.03
1995/11,101.89,122.45
1995/12,101.86,122.88
1996/01,105.81,117.95
1996/02,105.7,117.06
1996/03,105.85,116.67
1996/04,107.4,115.44
1996/05,106.49,116.77
1996/06,108.82,113.75
1996/07,109.25,113.09
1996/08,107.84,113.65
1996/09,109.76,111.83
1996/10,112.3,109.67
1996/11,112.27,108.8
1996/12,113.74,107.86
1997/01,118.18,104.46
1997/02,123.01,100.59
1997/03,122.66,101.49
1997/04,125.47,100.97
1997/05,118.91,106.91
1997/06,114.31,110.95
1997/07,115.1,111.3
1997/08,117.89,110.38
1997/09,120.74,108.63
1997/10,121.13,109.62
1997/11,125.35,106.04
1997/12,129.52,107.05
1998/01,129.45,110.96
1998/02,125.85,111.6
1998/03,128.83,107.84
1998/04,131.81,104.18
1998/05,135.08,102.71
1998/06,140.35,100.06
1998/07,140.66,98.99
1998/08,144.76,96.21
1998/09,134.5,102.73
1998/10,121.33,112.85
1998/11,120.61,112.75
1998/12,117.4,114.87
1999/01,113.14,118.47
1999/02,116.73,115.27
1999/03,119.71,113.76
1999/04,119.66,113.79
1999/05,122.14,111.43
1999/06,120.81,112.67
1999/07,119.76,113.42
1999/08,113.3,119.42
1999/09,107.45,126.77
1999/10,106,127.24
1999/11,104.83,128.62
1999/12,102.61,131.01
2000/01,105.21,126.7
2000/02,109.34,121.59
2000/03,106.62,125.77
2000/04,105.35,127.52
2000/05,108.13,126.39
2000/06,106.13,127.33
2000/07,107.9,125.22
2000/08,108.02,126.01
2000/09,106.75,128.03
2000/10,108.34,127.18
2000/11,108.87,126.62
2000/12,112.21,122.13
2001/01,117.1,116.03
2001/02,116.1,116.43
2001/03,121.21,112.24
2001/04,123.77,110.86
2001/05,121.83,112.72
2001/06,122.19,112.91
2001/07,124.63,110.67
2001/08,121.53,112.02
2001/09,118.91,113.99
2001/10,121.32,112.2
2001/11,122.33,111.09
2001/12,127.32,106.83
2002/01,132.66,102.25
2002/02,133.53,100.81
2002/03,131.15,102.67
2002/04,131.01,102.35
2002/05,126.39,104.83
2002/06,123.44,106.08
2002/07,118.08,109.21
2002/08,119.03,109.34
2002/09,120.49,107.6
2002/10,123.88,104.87
2002/11,121.54,105.92
2002/12,122.17,104.85
2003/01,118.67,105.5
2003/02,119.29,103.98
2003/03,118.49,104.9
2003/04,119.82,103.69
2003/05,117.26,104.26
2003/06,118.27,102.86
2003/07,118.65,102.98
2003/08,118.81,103.39
2003/09,115.09,105.95
2003/10,109.58,109.6
2003/11,109.18,109.16
2003/12,107.87,109.21
2004/01,106.39,108.88
2004/02,106.54,108.15
2004/03,108.57,106.82
2004/04,107.31,107.54
2004/05,112.27,103.99
2004/06,109.45,106.28
2004/07,109.34,105.54
2004/08,110.41,104.64
2004/09,110.05,104.79
2004/10,108.9,105.43
2004/11,104.86,107.41
2004/12,103.82,106.51
2005/01,103.27,106.79
2005/02,104.84,103.95
2005/03,105.3,103.27
2005/04,107.35,101.7
2005/05,106.94,102.74
2005/06,108.62,101.64
2005/07,111.94,98.76
2005/08,110.65,98.67
2005/09,111.03,98.21
2005/10,114.84,95.3
2005/11,118.45,92.67
2005/12,118.6,92.11
2006/01,115.33,92.92
2006/02,117.81,90.48
2006/03,117.31,91.02
2006/04,117.13,90.08
2006/05,111.53,93.24
2006/06,114.57,91.68
2006/07,115.59,90.31
2006/08,115.86,90.21
2006/09,117.02,89.31
2006/10,118.59,88.11
2006/11,117.33,87.64
2006/12,117.26,86.48
2007/01,120.59,84.17
2007/02,120.49,82.86
2007/03,117.29,84.96
2007/04,118.81,82.89
2007/05,120.77,81.26
2007/06,122.64,79.63
2007/07,121.56,79.06
2007/08,116.74,83.14
2007/09,115.01,83.43
2007/10,115.77,81.37
2007/11,111.24,83.61
2007/12,112.28,82.6
2008/01,107.6,84.87
2008/02,107.18,83.82
2008/03,100.83,87.99
2008/04,102.41,85.48
2008/05,104.11,84.9
2008/06,106.86,82.66
2008/07,106.76,81.97
2008/08,109.24,82.04
2008/09,106.71,85.91
2008/10,100.2,95.55
2008/11,96.89,100.93
2008/12,91.21,106.46
2009/01,90.35,106.85
2009/02,92.53,105.71
2009/03,97.83,100.1
2009/04,98.92,97.36
2009/05,96.43,97.11
2009/06,96.58,96.03
2009/07,94.49,97.75
2009/08,94.9,96.66
2009/09,91.4,99.27
2009/10,90.28,98.8
2009/11,89.11,99.37
2009/12,89.52,98.6
2010/01,91.26,96.78
2010/02,90.28,98.57
2010/03,90.56,97.8
2010/04,93.43,94.14
2010/05,91.79,97.53
2010/06,90.89,99.69
2010/07,87.67,101.45
2010/08,85.44,103.06
2010/09,84.31,103.11
2010/10,81.8,103.88
2010/11,82.43,102.46
2010/12,83.38,101.52
2011/01,82.63,100.91
2011/02,82.52,99.59
2011/03,81.82,99.9
2011/04,83.34,96.28
2011/05,81.23,98.57
2011/06,80.49,99.14
2011/07,79.44,99.92
2011/08,77.09,102.76
2011/09,76.78,104.74
2011/10,76.72,105.59
2011/11,77.5,103.95
2011/12,77.81,104.12
2012/01,76.94,104.86
2012/02,78.47,101.49
2012/03,82.37,96.78
2012/04,81.42,98.22
2012/05,79.7,101.16
2012/06,79.27,102.49
2012/07,78.96,102.45
2012/08,78.68,102.05
2012/09,78.17,101.26
2012/10,78.97,99.55
2012/11,80.92,96.8
2012/12,83.6,92.92
2013/01,89.15,86.79
2013/02,93.07,82.42
2013/03,94.73,81.7
2013/04,97.74,79.12
2013/05,101.01,76.87
2013/06,97.52,80.11
2013/07,99.66,78.61
2013/08,97.83,80.07
2013/09,99.3,78.66
2013/10,97.73,79.09
2013/11,100.04,77.68
2013/12,103.42,75
2014/01,103.94,74.69
2014/02,102.02,75.91
2014/03,102.3,75.8
2014/04,102.54,77.12
2014/05,101.78,77.8
2014/06,102.05,77.59
2014/07,101.73,77.71
2014/08,102.95,77.08
2014/09,107.16,74.55
2014/10,108.03,74.44
2014/11,116.24,69.65
2014/12,119.29,68.74
2015/01,118.25,70.39
2015/02,118.59,70.12
2015/03,120.37,69.97
2015/04,119.57,70.26
2015/05,120.82,69.25
2015/06,123.7,67.63
2015/07,123.31,68.33
2015/08,123.17,69.53
2015/09,120.13,71.78
2015/10,119.99,71.36
2015/11,122.58,70.42
2015/12,121.78,71.31
2016/01,118.18,74.16
2016/02,115.01,75.39
2016/03,113.05,75.8
2016/04,109.72,77.35
2016/05,109.24,78.54
2016/06,105.44,81.17
2016/07,103.97,82.44
2016/08,101.28,84.13
2016/09,101.99,83.59
2016/10,103.81,83.1
2016/11,108.33,80.84
2016/12,116.01,75.98
2017/01,114.69,75.97
2017/02,113.13,76.49
2017/03,113.02,76.43
2017/04,110.08,78.32
2017/05,112.24,76.46
2017/06,110.89,76.66
2017/07,112.5,74.95
2017/08,109.9,75.88
2017/09,110.67,74.59
2017/10,112.94,73.66
2017/11,112.89,73.83
2017/12,112.96,73.38
2018/01,110.74,73.19
2018/02,107.9,74.11
2018/03,106.01,75.44
2018/04,107.49,74.3
2018/05,109.74,74.15
2018/06,110.02,74.58
2018/07,111.41,74.77
2018/08,111.06,76.06
2018/09,111.91,75.25
2018/10,112.81,75.23
2018/11,113.36,75.1
2018/12,112.38,75.48
2019/01,108.97,77.11
2019/02,110.36,75.34
2019/03,111.22,74.8
2019/04,111.63,74.63
2019/05,109.76,76.58
2019/06,108.07,77.58
2019/07,108.23,77.22
2019/08,106.34,79.97
2019/09,107.4,79.02
2019/10,108.12,78.12
2019/11,108.88,77.12
2019/12,109.18,76.63
2020/01,109.38,75.8
2020/02,109.96,75.68
2020/03,107.42,78.99
2020/04,107.85,80.06
2020/05,107.28,80.4
2020/06,107.6,78.48
2020/07,106.75,78.34
2020/08,106.02,77.95
2020/09,105.67,77.57
2020/10,105.21,77.26
2020/11,104.4,76.75
2020/12,103.83,75.78
2021/01,103.7,75.48
2021/02,105.38,73.91
2021/03,108.7,72.41
2021/04,109.1,71.41
2021/05,109.13,70.8
2021/06,110.09,70.18
2021/07,110.26,70.84
2021/08,109.82,71.09
2021/09,110.2,70.87
2021/10,113.09,68.61
2021/11,114.03,68.09
2021/12,113.88,68.21
2022/01,114.84,67.37
2022/02,115.16,66.78
2022/03,118.54,65.26
2022/04,126.13,61.64
2022/05,128.68,61.77
2022/06,133.85,
2022/07,,
2022/08,,
2022/09,,
2022/10,,
2022/11,,
2022/12,,
